serial,ASIC test result,baseline_channel_0,baseline_channel_1,baseline_channel_2,baseline_channel_3,baseline_channel_4,baseline_channel_5,baseline_channel_6,baseline_channel_7,s-curve_halfmax_channel_0,s-curve_halfmax_channel_1,s-curve_halfmax_channel_2,s-curve_halfmax_channel_3,s-curve_halfmax_channel_4,s-curve_halfmax_channel_5,s-curve_halfmax_channel_6,s-curve_halfmax_channel_7,s-curve_sigma_channel_0,s-curve_sigma_channel_1,s-curve_sigma_channel_2,s-curve_sigma_channel_3,s-curve_sigma_channel_4,s-curve_sigma_channel_5,s-curve_sigma_channel_6,s-curve_sigma_channel_7,s-curve_chi2ndf_channel_0,s-curve_chi2ndf_channel_1,s-curve_chi2ndf_channel_2,s-curve_chi2ndf_channel_3,s-curve_chi2ndf_channel_4,s-curve_chi2ndf_channel_5,s-curve_chi2ndf_channel_6,s-curve_chi2ndf_channel_7,Test_passed_channel_0,Test_passed_channel_1,Test_passed_channel_2,Test_passed_channel_3,Test_passed_channel_4,Test_passed_channel_5,Test_passed_channel_6,Test_passed_channel_7
07208,all channels OK,0.0,3.167746776804812,3.0,3.0,2.0,9.0,1.9958762886597938,1.0087530492179653,27.220629149836526,13.839426437174213,12.552590970337453,12.882631976993652,12.443016434832899,12.842447074012277,12.750281586450042,28.689647349237553,0.3973201756457696,0.23841310134297475,0.20491567160801225,0.21880820132710713,0.2189709160268685,0.18420776813017206,0.18074468835808005,0.3622143451616216,76.32002517521754,36.17474256578779,0.002688229931186157,34.70393039501199,0.556851531016525,32.22537065446185,9.445067510224076,178.12242544115068,OK,OK,OK,OK,OK,OK,OK,OK
07207,channel 2 s-curve failed ,3.0816326530612246,7.078770838310398,nan,6.065269943593876,-1.0,9.9553264604811,-1.0,2.880348903356299,25.600479607791677,12.499525182456937,19.261848195502537,12.419078555109442,11.55438001837947,11.824771590282497,12.11349784430472,26.694527341740347,0.3319889321662233,0.2583456722092327,0.4264170086684308,0.26529130836134124,0.21334316626489078,0.19230601166549757,0.27344926381761114,0.3049254018544866,79.60153149546817,19.204191295056795,321.5831106286305,5.4805463167693995,0.8647429534319283,27.61887270870712,40.89395856564513,194.91744717703605,OK,OK,s-curve fit failed,OK,OK,OK,OK,OK
07207,channel 2 s-curve failed ,3.0357142857142856,7.086717202372671,nan,6.081264108352144,-1.0,9.912162162162161,-1.0,2.808499916008735,25.66260080577161,12.525014120206079,19.30000921692476,12.420881156588022,11.604393445659333,11.840997173979057,12.196777623498917,26.724849250044965,0.3148851928897833,0.24384777535509453,0.4357166842225319,0.2611974588386967,0.20467457691865015,0.2066894872481066,0.27346853600197707,0.31498414694965515,89.60848235641242,20.049005975269832,409.49784684360105,5.209920865968558,0.24288412846578816,27.733438244615197,12.470872478013813,192.83717715786943,OK,OK,s-curve fit failed,OK,OK,OK,OK,OK
07206,channel 0 s-curve  out of range channel 1 s-curve  out of range channel 2 s-curve  out of range channel 3 s-curve  out of range channel 4 s-curve  out of range channel 5 s-curve  out of range channel 6 s-curve  out of range channel 7 s-curve  out of range ,nan,nan,nan,nan,nan,nan,nan,nan,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,s-curve fit out of range,s-curve fit out of range,s-curve fit out of range,s-curve fit out of range,s-curve fit out of range,s-curve fit out of range,s-curve fit out of range,s-curve fit out of range
07206,channel 0 s-curve  out of range channel 1 s-curve  out of range channel 2 s-curve  out of range channel 3 s-curve  out of range channel 4 s-curve  out of range channel 5 s-curve  out of range channel 6 s-curve  out of range channel 7 s-curve  out of range ,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0,293.54050158315937,288.52138898165384,293.54050158315937,293.54050158315937,91.18243115754353,293.8235825971028,293.54050158315937,293.54050158315937,5.62531061186958,2.617293472277968,5.62531061186958,5.62531061186958,6.211572084165226,7.359051664927172,5.62531061186958,5.62531061186958,0.38803208164487574,0.8474995365830833,0.38803208164487574,0.38803208164487574,0.45274743488800917,0.43082647747173086,0.38803208164487574,0.38803208164487574,s-curve fit out of range,s-curve fit out of range,s-curve fit out of range,s-curve fit out of range,s-curve fit out of range,s-curve fit out of range,s-curve fit out of range,s-curve fit out of range
07211,channel 1 s-curve failed ,2.9910512129380056,1.1247180955790228,6.085714285714285,9.0,4.998122653316646,2.466666666666667,5.005376344086022,1.7256847955537913,27.47212594623893,16.14077102291879,12.287217735806966,12.52716641358004,11.869960805453832,12.185596507514772,13.174518799715843,29.16210106369516,0.3979898431737136,0.4264069962999166,0.28049877937214396,0.23655561718990112,0.2319605379769237,0.3092236172429871,0.30279950581396137,0.4588394055837705,112.81347175186718,291058.32222632127,9.418492614532568,2.9437317341072635,21.148413833124987,11.791462102483786,2.228332997037569,118.53295737387752,OK,s-curve fit failed,OK,OK,OK,OK,OK,OK
07212,all channels OK,7.977200424178155,8.99845868406994,5.982862583306887,0.9175257731958762,7.277777777777778,8.990344827586206,3.2,3.0015704750687084,28.56458025370517,11.739728456719911,12.483216758408542,12.26095606468994,12.036834369297798,11.992650418188559,13.306350996145998,28.015411497631753,0.372256983556808,0.20630369506612325,0.26250323434759915,0.30480526935175467,0.2910126599090863,0.29072425854280715,0.331302275109498,0.41237572751717944,145.12849496529637,26.918154937562168,2.4577022394632406,3.3907946608249184,62.211825461111864,20.39384709489067,15.898127809893447,125.08278733411737,OK,OK,OK,OK,OK,OK,OK,OK
07213,channel 2 s-curve failed ,8.20125786163522,12.125910815339406,11.748339415255717,7.731543624161074,5.996739130434783,3.404255319148936,4.995352439969016,0.75625,29.311606035560175,13.67477992890078,6.40474444660895,13.03643234987173,12.434409419333077,12.906797311247349,13.296682885755297,29.69496484748937,0.41314613104256487,0.2176189304877545,5.845700190888348,0.2851233105301509,0.2579986844751151,0.23998166544084035,0.29209223349554575,0.375978845499632,108.80328371673706,18.196200681932034,9454418.525828326,7.9669996785450135,1.4960180211881073,23.855883270302535,0.6246541629230742,147.80766835043806,OK,OK,s-curve fit failed,OK,OK,OK,OK,OK
07214,all channels OK,2.939693757361602,8.207547816472516,5.0010460251046025,4.615384615384615,4.9156626506024095,3.048,10.0,7.191283292978208,28.296089780603317,13.158726145042134,12.418442402801169,11.957352010936791,11.729424818946155,12.2097495432543,12.968005133697146,27.817266536864718,0.37982196290295495,0.3394174208922363,0.28973769654733317,0.27849984442729675,0.18251051828003428,0.30280551298343433,0.28637134745520376,0.34123548426938677,110.24629270678855,6.194613469923985,1.1688908838270993,35.881568303303254,6.590262104297841,8.071312926356546,15.367881441118886,165.28645674287884,OK,OK,OK,OK,OK,OK,OK,OK
07215,channel 1 s-curve failed ,6.34375,4.386581469648562,0.034013605442176874,-2.99290780141844,6.968722544368301,0.9975247524752475,1.8598130841121496,10.00683816346467,28.70822970695136,28.569183183622773,13.27229769507964,13.785675416893364,12.807572683760776,12.43508486919276,13.480811100629422,29.26668730537018,0.32676033798682275,0.4851714134450534,0.3053564553346446,0.21789102593063606,0.20951273939066142,0.268070862595373,0.27230760927348224,0.4479673258963906,155.4290353033857,306.4469814918144,0.9522316758899642,32.91073172304264,32.51793148326818,2.9062904559109577,15.789580586274397,103.94703035918099,OK,s-curve fit failed,OK,OK,OK,OK,OK,OK
