active                          ,baseline_is_calibrated          ,board_chan                      ,calib_baseline_mean             ,calib_baseline_stddev           ,calib_baselines                 ,calib_bl_range                  ,calib_ch_error                  ,calib_file                      ,calib_noise_scan_raw            ,chamber                         ,channels                        ,dummy_calib_baseline_mean       ,dummy_calib_baseline_stddev     ,dummy_calib_baselines           ,dummy_calib_bl_range            ,dummy_calib_ch_error            ,dummy_calib_noise_scan_raw      ,dummy_calib_tsbl_mean           ,dummy_calib_tsbl_range          ,dummy_calib_tsbl_scan_raw       ,dummy_calib_tsbl_stddev         ,fpc_a                           ,fpc_b                           ,fpc_c                           ,fpc_d                           ,hub_addr                        ,layer                           ,name                            ,reverse_mapping                 ,standby                         ,t1_is_calibrated                ,t1_offsets                      ,tdc_addr                        ,tdc_connector                   ,wires                           ,
"1                               ","-1                              ","0                               ","4.743143843905159               ","0.4930493903525494              ","5.0                             ","[-15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","1.0                             ","./boards/board_4000.json        ","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 33910.0, 10277705.0, 25745565.0, 778010.0, 38565.0, 5875.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","8                               ","0                               ","8.885196281310806               ","0.3707448278637503              ","9.0                             ","[-15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","0.0                             ","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 380.0, 1110.0, 15770.0, 144035.0, 575.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0]","12.03999913524732               ","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]","[78675.0, 74140.0, 46000.0, 40570.0, 40370.0, 40365.0, 40365.0, 40365.0, 40365.0, 40365.0, 40365.0, 40365.0, 40560.0, 40560.0, 40560.0, 40560.0, 40560.0, 40560.0, 40365.0, 40560.0, 40365.0, 40545.0, 40365.0, 40365.0, 40345.0, 39035.0, 18835.0, 4895.0, 2345.0, 1250.0, 1020.0, 435.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","8.081728885878862               ","0                               ","1                               ","2                               ","3                               ","0xc035                          ","8                               ","4000                            ","0                               ","0                               ","0                               ","0                               ","0xf3cf                          ","1                               ","0                               ",
"1                               ","-1                              ","1                               ","6.124578728637593               ","0.915672011647196               ","6.0                             ","[-15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","1.0                             ","./boards/board_4000.json        ","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 95.0, 312875.0, 25339835.0, 30723140.0, 25548585.0, 5664485.0, 15.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","8                               ","1                               ","12.336411809551077              ","0.5114432004179235              ","12.0                            ","[-15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","0.0                             ","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3000.0, 429805.0, 23252670.0, 12039190.0, 247780.0, 980.0, 0.0]","3.8505394013002787              ","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]","[40365.0, 40365.0, 40560.0, 40560.0, 40365.0, 40365.0, 40365.0, 40180.0, 23780.0, 2940.0, 80.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","2.5212751721670177              ","0                               ","1                               ","2                               ","3                               ","0xc035                          ","8                               ","4000                            ","0                               ","0                               ","0                               ","0                               ","0xf3cf                          ","1                               ","1                               ",
"1                               ","-1                              ","2                               ","8.009630235304806               ","0.11317305255826465             ","8.0                             ","[-15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","1.0                             ","./boards/board_4000.json        ","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 180.0, 108650.0, 1240.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","8                               ","2                               ","12.506242905788877              ","0.4999610246082301              ","13.0                            ","[-15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","0.0                             ","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2175.0, 2230.0, 0.0, 0.0, 0.0]","4.347273472734727               ","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]","[40365.0, 40365.0, 40560.0, 40560.0, 40365.0, 40365.0, 40365.0, 40365.0, 40265.0, 23575.0, 3000.0, 90.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","2.8075474019769557              ","0                               ","1                               ","2                               ","3                               ","0xc035                          ","8                               ","4000                            ","0                               ","0                               ","0                               ","0                               ","0xf3cf                          ","1                               ","2                               ",
"1                               ","-1                              ","3                               ","2.97                            ","0.1705872210923198              ","3.0                             ","[-15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","1.0                             ","./boards/board_4000.json        ","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 510.0, 16490.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","8                               ","3                               ","4.399410029498525               ","0.48977715119686055             ","4.0                             ","[-15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","0.0                             ","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5090.0, 3385.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","5.176764890520669               ","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]","[75800.0, 41480.0, 40560.0, 40560.0, 40365.0, 40365.0, 40365.0, 40365.0, 40365.0, 40365.0, 40360.0, 38120.0, 5975.0, 615.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","3.6582973668672056              ","0                               ","1                               ","2                               ","3                               ","0xc035                          ","8                               ","4000                            ","0                               ","0                               ","0                               ","0                               ","0xf3cf                          ","1                               ","3                               ",
"1                               ","-1                              ","4                               ","8.155530388825973               ","0.36240955696230476             ","8.0                             ","[-15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","1.0                             ","./boards/board_4000.json        ","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 11185.0, 2060.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","8                               ","4                               ","6.998943227851817               ","0.04333115823331911             ","7.0                             ","[-15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","0.0                             ","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 125.0, 85005.0, 35.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","5.180130503322447               ","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]","[80700.0, 149440.0, 74030.0, 41180.0, 40365.0, 40365.0, 40365.0, 40365.0, 40365.0, 40365.0, 40365.0, 40365.0, 40560.0, 36575.0, 5705.0, 595.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","4.281325683495043               ","0                               ","1                               ","2                               ","3                               ","0xc035                          ","8                               ","4000                            ","0                               ","0                               ","0                               ","0                               ","0xf3cf                          ","1                               ","4                               ",
"1                               ","-1                              ","5                               ","4.002844950213372               ","0.053262148582785364            ","4.0                             ","[-15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","1.0                             ","./boards/board_4000.json        ","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7010.0, 20.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","8                               ","5                               ","5.872483221476511               ","0.34884985293102094             ","6.0                             ","[-15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","0.0                             ","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 9775.0, 63595.0, 380.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","5.0921011943875385              ","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]","[75005.0, 41705.0, 40560.0, 40560.0, 40365.0, 40365.0, 40365.0, 40365.0, 40365.0, 40365.0, 40340.0, 32430.0, 4305.0, 325.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","3.6049819497883426              ","0                               ","1                               ","2                               ","3                               ","0xc035                          ","8                               ","4000                            ","0                               ","0                               ","0                               ","0                               ","0xf3cf                          ","1                               ","5                               ",
"1                               ","-1                              ","6                               ","6.9898391988077995              ","0.12941428088256543             ","7.0                             ","[-15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","1.0                             ","./boards/board_4000.json        ","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6480.0, 471700.0, 1605.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","8                               ","6                               ","9.074818385497998               ","0.2630980704784249              ","9.0                             ","[-15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","0.0                             ","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 68135.0, 5510.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","5.294161383736402               ","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]","[63635.0, 40385.0, 40560.0, 40560.0, 40365.0, 40365.0, 40365.0, 40365.0, 40365.0, 40365.0, 40345.0, 36950.0, 5505.0, 940.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","3.6047115998407793              ","0                               ","1                               ","2                               ","3                               ","0xc035                          ","8                               ","4000                            ","0                               ","0                               ","0                               ","0                               ","0xf3cf                          ","1                               ","6                               ",
"1                               ","-1                              ","7                               ","5.380905511811024               ","0.48560941391514                ","5.0                             ","[-15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","1.0                             ","./boards/board_4000.json        ","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3145.0, 1935.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","8                               ","7                               ","4.022181786673599               ","0.20172868627621268             ","4.0                             ","[-15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","0.0                             ","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1090.0, 167610.0, 3925.0, 475.0, 10.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","12.437137970429658              ","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]","[81675.0, 134065.0, 80685.0, 79150.0, 76060.0, 58280.0, 40675.0, 40365.0, 40365.0, 40365.0, 40365.0, 40365.0, 40560.0, 40560.0, 40560.0, 40560.0, 40560.0, 40560.0, 40365.0, 40560.0, 40365.0, 40470.0, 40365.0, 40365.0, 40365.0, 40560.0, 40365.0, 40365.0, 40455.0, 35715.0, 12415.0, 4085.0, 1945.0, 1090.0, 940.0, 205.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","9.38013951130651                ","0                               ","1                               ","2                               ","3                               ","0xc035                          ","8                               ","4000                            ","0                               ","0                               ","0                               ","0                               ","0xf3cf                          ","1                               ","7                               ",
"1                               ","-1                              ","8                               ","6.9842247284300845              ","0.17073520595012112             ","7.0                             ","[-15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","1.0                             ","./boards/board_4000.json        ","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3145.0, 8520.0, 780980.0, 2270.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","8                               ","8                               ","0.0                             ","-1.0                            ","0.0                             ","[-15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","1.0                             ","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","0.0                             ","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","-1.0                            ","0                               ","1                               ","2                               ","3                               ","0xc035                          ","8                               ","4000                            ","0                               ","0                               ","0                               ","0                               ","0xf3cf                          ","1                               ","8                               ",
"1                               ","-1                              ","9                               ","6.413951380496421               ","0.8078126260924666              ","6.0                             ","[-15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","1.0                             ","./boards/board_4000.json        ","[5.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 70.0, 16030.0, 34625.0, 136665.0, 240735.0, 2095.0, 0.0, 5.0, 5.0, 15.0, 5.0, 5.0, 10.0, 0.0]","8                               ","9                               ","1.8069176882661997              ","9.200144927200386               ","2.0                             ","[-15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","1.0                             ","[240.0, 250.0, 260.0, 260.0, 320.0, 375.0, 350.0, 410.0, 310.0, 310.0, 440.0, 350.0, 280.0, 305.0, 310.0, 315.0, 345.0, 400.0, 310.0, 260.0, 205.0, 325.0, 340.0, 425.0, 370.0, 645.0, 620.0, 545.0, 400.0, 400.0, 405.0, 340.0]","30.01057770545159               ","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]","[305.0, 285.0, 280.0, 260.0, 220.0, 220.0, 290.0, 345.0, 285.0, 275.0, 250.0, 225.0, 260.0, 255.0, 295.0, 325.0, 315.0, 330.0, 360.0, 315.0, 315.0, 300.0, 290.0, 275.0, 415.0, 415.0, 405.0, 325.0, 355.0, 380.0, 295.0, 310.0, 325.0, 385.0, 355.0, 295.0, 350.0, 275.0, 265.0, 285.0, 345.0, 315.0, 325.0, 210.0, 315.0, 210.0, 295.0, 365.0, 315.0, 245.0, 305.0, 345.0, 400.0, 390.0, 305.0, 330.0, 230.0, 290.0, 335.0, 255.0]","16.887561824130874              ","0                               ","1                               ","2                               ","3                               ","0xc035                          ","8                               ","4000                            ","0                               ","0                               ","0                               ","0                               ","0xf3cf                          ","1                               ","9                               ",
